SCRIP_CODE,KEY
41909,ACC_31-May-2018_1020.0_CE
41910,ACC_31-May-2018_1020.0_PE
41911,ACC_31-May-2018_1040.0_CE
41912,ACC_31-May-2018_1040.0_PE
41118,ACC_31-May-2018_1060.0_CE
41119,ACC_31-May-2018_1060.0_PE
41120,ACC_31-May-2018_1080.0_CE
41121,ACC_31-May-2018_1080.0_PE
57300,ACC_31-May-2018_1100.0_CE
57301,ACC_31-May-2018_1100.0_PE
45338,ACC_31-May-2018_1120.0_CE
45339,ACC_31-May-2018_1120.0_PE
42621,ACC_31-May-2018_1140.0_CE
42622,ACC_31-May-2018_1140.0_PE
42623,ACC_31-May-2018_1160.0_CE
42626,ACC_31-May-2018_1160.0_PE
40994,ACC_31-May-2018_1180.0_CE
40995,ACC_31-May-2018_1180.0_PE
38831,ACC_31-May-2018_1200.0_CE
38832,ACC_31-May-2018_1200.0_PE
37853,ACC_31-May-2018_1220.0_CE
37854,ACC_31-May-2018_1220.0_PE
51164,ACC_31-May-2018_1240.0_CE
51165,ACC_31-May-2018_1240.0_PE
51169,ACC_31-May-2018_1260.0_CE
51170,ACC_31-May-2018_1260.0_PE
51171,ACC_31-May-2018_1280.0_CE
51172,ACC_31-May-2018_1280.0_PE
51173,ACC_31-May-2018_1300.0_CE
51174,ACC_31-May-2018_1300.0_PE
51175,ACC_31-May-2018_1320.0_CE
51176,ACC_31-May-2018_1320.0_PE
51177,ACC_31-May-2018_1340.0_CE
51178,ACC_31-May-2018_1340.0_PE
51179,ACC_31-May-2018_1360.0_CE
51180,ACC_31-May-2018_1360.0_PE
51181,ACC_31-May-2018_1380.0_CE
51182,ACC_31-May-2018_1380.0_PE
51183,ACC_31-May-2018_1400.0_CE
51184,ACC_31-May-2018_1400.0_PE
51185,ACC_31-May-2018_1420.0_CE
51186,ACC_31-May-2018_1420.0_PE
51187,ACC_31-May-2018_1440.0_CE
51188,ACC_31-May-2018_1440.0_PE
51189,ACC_31-May-2018_1460.0_CE
51190,ACC_31-May-2018_1460.0_PE
51191,ACC_31-May-2018_1480.0_CE
51192,ACC_31-May-2018_1480.0_PE
51193,ACC_31-May-2018_1500.0_CE
51194,ACC_31-May-2018_1500.0_PE
51195,ACC_31-May-2018_1520.0_CE
51196,ACC_31-May-2018_1520.0_PE
51197,ACC_31-May-2018_1540.0_CE
51198,ACC_31-May-2018_1540.0_PE
51199,ACC_31-May-2018_1560.0_CE
51200,ACC_31-May-2018_1560.0_PE
51201,ACC_31-May-2018_1580.0_CE
51202,ACC_31-May-2018_1580.0_PE
51203,ACC_31-May-2018_1600.0_CE
51204,ACC_31-May-2018_1600.0_PE
51205,ACC_31-May-2018_1620.0_CE
51206,ACC_31-May-2018_1620.0_PE
51207,ACC_31-May-2018_1640.0_CE
51208,ACC_31-May-2018_1640.0_PE
51209,ACC_31-May-2018_1660.0_CE
51210,ACC_31-May-2018_1660.0_PE
51211,ACC_31-May-2018_1680.0_CE
51212,ACC_31-May-2018_1680.0_PE
51213,ACC_31-May-2018_1700.0_CE
51214,ACC_31-May-2018_1700.0_PE
51215,ACC_31-May-2018_1720.0_CE
51216,ACC_31-May-2018_1720.0_PE
51217,ACC_31-May-2018_1740.0_CE
51218,ACC_31-May-2018_1740.0_PE
51219,ACC_31-May-2018_1760.0_CE
51220,ACC_31-May-2018_1760.0_PE
51221,ACC_31-May-2018_1780.0_CE
51222,ACC_31-May-2018_1780.0_PE
51223,ACC_31-May-2018_1800.0_CE
51224,ACC_31-May-2018_1800.0_PE
51225,ACC_31-May-2018_1820.0_CE
51226,ACC_31-May-2018_1820.0_PE
51227,ACC_31-May-2018_1840.0_CE
51228,ACC_31-May-2018_1840.0_PE
51229,ACC_31-May-2018_1860.0_CE
51230,ACC_31-May-2018_1860.0_PE
51231,ACC_31-May-2018_1880.0_CE
51232,ACC_31-May-2018_1880.0_PE
51233,ACC_31-May-2018_1900.0_CE
51234,ACC_31-May-2018_1900.0_PE
51235,ACC_31-May-2018_1920.0_CE
51236,ACC_31-May-2018_1920.0_PE
51237,ACC_31-May-2018_1940.0_CE
51238,ACC_31-May-2018_1940.0_PE
51239,ACC_31-May-2018_1960.0_CE
51240,ACC_31-May-2018_1960.0_PE
51241,ACC_31-May-2018_1980.0_CE
51242,ACC_31-May-2018_1980.0_PE
51243,ACC_31-May-2018_2000.0_CE
51244,ACC_31-May-2018_2000.0_PE
51252,ACC_31-May-2018_2020.0_CE
51255,ACC_31-May-2018_2020.0_PE
51256,ACC_31-May-2018_2040.0_CE
51257,ACC_31-May-2018_2040.0_PE
35141,ACC_31-May-2018_2060.0_CE
35144,ACC_31-May-2018_2060.0_PE
45140,ADANIENT_26-Jul-2018_-0.01_XX
47158,ADANIENT_26-Jul-2018_100.0_CE
47159,ADANIENT_26-Jul-2018_100.0_PE
47160,ADANIENT_26-Jul-2018_110.0_CE
47161,ADANIENT_26-Jul-2018_110.0_PE
47162,ADANIENT_26-Jul-2018_120.0_CE
47163,ADANIENT_26-Jul-2018_120.0_PE
47164,ADANIENT_26-Jul-2018_130.0_CE
47165,ADANIENT_26-Jul-2018_130.0_PE
47166,ADANIENT_26-Jul-2018_140.0_CE
47167,ADANIENT_26-Jul-2018_140.0_PE
47168,ADANIENT_26-Jul-2018_150.0_CE
47169,ADANIENT_26-Jul-2018_150.0_PE
47170,ADANIENT_26-Jul-2018_160.0_CE
47171,ADANIENT_26-Jul-2018_160.0_PE
47174,ADANIENT_26-Jul-2018_170.0_CE
47175,ADANIENT_26-Jul-2018_170.0_PE
47176,ADANIENT_26-Jul-2018_180.0_CE
47177,ADANIENT_26-Jul-2018_180.0_PE
47191,ADANIENT_26-Jul-2018_190.0_CE
47192,ADANIENT_26-Jul-2018_190.0_PE
41473,ADANIENT_26-Jul-2018_20.0_CE
41476,ADANIENT_26-Jul-2018_20.0_PE
47193,ADANIENT_26-Jul-2018_200.0_CE
47194,ADANIENT_26-Jul-2018_200.0_PE
47195,ADANIENT_26-Jul-2018_210.0_CE
