,KEY,EXPIRY_DT,SCRIP_CODE,OI4,CLOSE4,NET_CHG_IN_VAL4,AVG_PRICE4,OI5,CLOSE5,CHG_IN_OI5,NET_CHG_IN_VAL5,NEW_NET_VAL5,AVG_PRICE5
74,NIFTYCPSE_24-May-2018_2600.0_PE,24-May-2018,40185.0,0.0,147.5,0.0,,0.0,147.5,0.0,0.0,0.0,
75,NIFTYCPSE_24-May-2018_2225.0_CE,24-May-2018,45418.0,0.0,206.05,0.0,,0.0,206.05,0.0,0.0,0.0,
76,NIFTYCPSE_24-May-2018_2225.0_PE,24-May-2018,45419.0,0.0,18.8,0.0,,0.0,18.8,0.0,0.0,0.0,
77,NIFTYCPSE_24-May-2018_2250.0_CE,24-May-2018,45420.0,0.0,186.4,0.0,,0.0,186.4,0.0,0.0,0.0,
78,NIFTYCPSE_24-May-2018_2250.0_PE,24-May-2018,45421.0,0.0,23.85,0.0,,0.0,23.85,0.0,0.0,0.0,
79,NIFTYCPSE_24-May-2018_2275.0_CE,24-May-2018,45422.0,0.0,167.75,0.0,,0.0,167.75,0.0,0.0,0.0,
80,NIFTYCPSE_24-May-2018_2275.0_PE,24-May-2018,45424.0,0.0,29.85,0.0,,0.0,29.85,0.0,0.0,0.0,
81,NIFTYCPSE_24-May-2018_2325.0_CE,24-May-2018,45439.0,0.0,133.3,0.0,,0.0,133.3,0.0,0.0,0.0,
82,BANKNIFTY_24-May-2018_23000.0_PE,24-May-2018,45054.0,0.0,203.7,0.0,,0.0,203.7,0.0,0.0,0.0,
83,BANKNIFTY_24-May-2018_23100.0_CE,24-May-2018,45055.0,0.0,1553.25,0.0,,0.0,1553.25,0.0,0.0,0.0,
84,BANKNIFTY_24-May-2018_23100.0_PE,24-May-2018,45063.0,0.0,226.05,0.0,,0.0,226.05,0.0,0.0,0.0,
85,BANKNIFTY_24-May-2018_23200.0_CE,24-May-2018,45064.0,0.0,1478.6,0.0,,0.0,1478.6,0.0,0.0,0.0,
86,BANKNIFTY_24-May-2018_23200.0_PE,24-May-2018,45066.0,0.0,250.15,0.0,,0.0,250.15,0.0,0.0,0.0,
87,BANKNIFTY_24-May-2018_23300.0_CE,24-May-2018,45067.0,0.0,1406.5,0.0,,0.0,1406.5,0.0,0.0,0.0,
88,BANKNIFTY_24-May-2018_23300.0_PE,24-May-2018,45074.0,0.0,276.85,0.0,,0.0,276.85,0.0,0.0,0.0,
89,BANKNIFTY_24-May-2018_23400.0_CE,24-May-2018,45075.0,0.0,1334.55,0.0,,0.0,1334.55,0.0,0.0,0.0,
90,BANKNIFTY_24-May-2018_23400.0_PE,24-May-2018,45076.0,0.0,303.65,0.0,,0.0,303.65,0.0,0.0,0.0,
91,BANKNIFTY_24-May-2018_23500.0_CE,24-May-2018,45077.0,0.0,1265.55,0.0,,0.0,1265.55,0.0,0.0,0.0,
92,BANKNIFTY_24-May-2018_23500.0_PE,24-May-2018,45080.0,0.0,333.45,0.0,,0.0,333.45,0.0,0.0,0.0,
93,BANKNIFTY_24-May-2018_23600.0_CE,24-May-2018,45081.0,0.0,1198.6,0.0,,0.0,1198.6,0.0,0.0,0.0,
94,BANKNIFTY_24-May-2018_23600.0_PE,24-May-2018,45086.0,0.0,365.2,0.0,,0.0,365.2,0.0,0.0,0.0,
95,BANKNIFTY_24-May-2018_23700.0_CE,24-May-2018,45090.0,0.0,1133.65,0.0,,0.0,1133.65,0.0,0.0,0.0,
96,BANKNIFTY_24-May-2018_23700.0_PE,24-May-2018,45093.0,0.0,399.05,0.0,,0.0,399.05,0.0,0.0,0.0,
97,BANKNIFTY_24-May-2018_23800.0_CE,24-May-2018,45094.0,0.0,1070.75,0.0,,0.0,1070.75,0.0,0.0,0.0,
