SCRIP_CODE,CLOSE,EXPIRY_DT
98464,nan,28-06-2018 
98465,nan,28-06-2018 
88629,0.45,31-05-2018 
47545,424.0,31-12-2020 
97996,0.05,31-05-2018 
88422,nan,31-05-2018 
66017,6.5,28-06-2018 
99554,260.0,31-05-2018 
51186,37.35,31-05-2018 
69272,9.9,28-06-2018 
101517,19.2,31-05-2018 
36067,23.7,31-05-2018 
90282,1.0,31-05-2018 
52234,3.85,31-05-2018 
57836,87.0,31-05-2018 
67766,0.4,31-05-2018 
97872,nan,28-06-2018 
70115,158.0,31-05-2018 
62139,5.95,31-05-2018 
92965,nan,28-06-2018 
72260,520.0,31-05-2018 
96371,17.0,28-06-2018 
45923,nan,24-06-2021 
80242,nan,28-06-2018 
94814,nan,28-06-2018 
92667,nan,28-06-2018 
104362,nan,28-06-2018 
55013,2.8,31-05-2018 
57408,8.05,31-05-2018 
57475,nan,31-05-2018 
86777,1.85,31-05-2018 
86992,20.35,31-05-2018 
69529,11.4,31-05-2018 
87897,15.4,31-05-2018 
70089,28.25,31-05-2018 
62683,3.8,31-05-2018 
89200,nan,31-05-2018 
91462,2.1,31-05-2018 
99110,55.0,28-06-2018 
68018,nan,28-06-2018 
72151,nan,28-06-2018 
41766,nan,31-12-2020 
72422,nan,28-06-2018 
98921,34.0,28-06-2018 
43919,66.35,17-05-2018 
51374,0.45,31-05-2018 
94064,0.2,31-05-2018 
58008,nan,28-06-2018 
62087,40.45,31-05-2018 
72481,11.5,31-05-2018 
45457,84.35,26-07-2018 
94815,nan,28-06-2018 
85857,nan,28-06-2018 
92669,nan,28-06-2018 
56657,nan,31-05-2018 
85359,0.4,31-05-2018 
100557,0.1,31-05-2018 
69732,nan,31-05-2018 
80589,nan,31-05-2018 
63662,0.8,31-05-2018 
74018,260.0,31-05-2018 
56157,2.6,31-05-2018 
59150,0.5,31-05-2018 
95263,8.25,28-06-2018 
56608,nan,31-05-2018 
82324,nan,28-06-2018 
51174,nan,31-05-2018 
89994,nan,28-06-2018 
60146,4.15,31-05-2018 
36171,700.1,27-12-2018 
57746,68.5,31-05-2018 
59095,3.1,31-05-2018 
59994,13.65,31-05-2018 
69682,0.8,31-05-2018 
70502,318.0,31-05-2018 
62956,2.1,31-05-2018 
99715,nan,31-05-2018 
94577,58.0,28-06-2018 
67210,nan,28-06-2018 
82784,nan,28-06-2018 
43815,nan,17-05-2018 
56268,0.15,31-05-2018 
65657,nan,31-05-2018 
86993,0.2,31-05-2018 
67750,nan,31-05-2018 
68009,2.55,31-05-2018 
69563,7.4,31-05-2018 
61777,nan,31-05-2018 
88192,0.1,31-05-2018 
83810,nan,28-06-2018 
88492,18.3,31-05-2018 
72042,nan,28-06-2018 
78651,nan,28-06-2018 
57790,nan,31-05-2018 
90619,nan,28-06-2018 
61732,nan,31-05-2018 
91838,0.55,31-05-2018 
45051,nan,24-05-2018 
51591,0.15,31-05-2018 
52080,1.3,31-05-2018 
52798,21.0,31-05-2018 
88313,93.0,31-05-2018 
60695,2.0,31-05-2018 
61709,31.55,31-05-2018 
94110,nan,28-06-2018 
101659,nan,28-06-2018 
63602,0.4,31-05-2018 
79160,nan,28-06-2018 
70911,14.35,31-05-2018 
58491,nan,28-06-2018 
52520,7.7,31-05-2018 
84727,2.05,31-05-2018 
46559,nan,26-12-2019 
93122,112.2,31-05-2018 
100444,nan,26-07-2018 
95232,3.65,31-05-2018 
96390,1.9,28-06-2018 
96702,2.65,28-06-2018 
45771,961.5,26-07-2018 
62329,2.25,31-05-2018 
101959,nan,31-05-2018 
88385,54.4,31-05-2018 
42736,nan,28-06-2018 
43695,3720.0,28-06-2018 
72615,nan,31-05-2018 
72655,41.0,31-05-2018 
53076,11.15,31-05-2018 
53090,3.5,31-05-2018 
60223,nan,31-05-2018 
97738,1.1,31-05-2018 
